time(h)	PPFD(umol/m2/s)	VPD(kPa)	T(oC)
0	50.5	0.21624253	22.48148148
1	332.3333333	0.472463525	24.46296296
2	790.3333333	0.862742645	26.30555556
3	1262	1.165408039	27.33333333
4	1413.666667	1.38336475	28.28703704
5	1612.833333	1.632838359	28.90740741
6	1798.166667	1.902109371	29.74074074
7	1745.833333	2.105061309	30.48148148
8	1454.833333	2.247487394	30.59259259
9	1029.833333	2.221494297	30.62037037
10	633.6666667	2.178290954	30.38888889
11	300	2.018482035	29.73148148
12	56	1.518719495	28.13888889
13	0	0.833417006	25.75925926
14	0	0.6470646	25.43518519
15	0	0.375632854	24.81481481
16	0	0.233208792	24.32407407
17	0	0.159987572	24.01851852
18	0	0.107824274	23.68518519
19	0	0.069510545	23.31481481
20	0	0.038987514	23.19444444
21	0	0.022418685	23.25
22	0	0.027645537	22.94444444
23	0	0.015899847	22.92592593
24	50.5	0.21624253	22.48148148
25	332.3333333	0.472463525	24.46296296
26	790.3333333	0.862742645	26.30555556
27	1262	1.165408039	27.33333333
28	1413.666667	1.38336475	28.28703704
29	1612.833333	1.632838359	28.90740741
30	1798.166667	1.902109371	29.74074074
31	1745.833333	2.105061309	30.48148148
32	1454.833333	2.247487394	30.59259259
33	1029.833333	2.221494297	30.62037037
34	633.6666667	2.178290954	30.38888889
35	300	2.018482035	29.73148148
36	56	1.518719495	28.13888889
37	0	0.833417006	25.75925926
38	0	0.6470646	25.43518519
39	0	0.375632854	24.81481481
40	0	0.233208792	24.32407407
41	0	0.159987572	24.01851852
42	0	0.107824274	23.68518519
43	0	0.069510545	23.31481481
44	0	0.038987514	23.19444444
45	0	0.022418685	23.25
46	0	0.027645537	22.94444444
47	0	0.015899847	22.92592593
48	50.5	0.21624253	22.48148148
49	332.3333333	0.472463525	24.46296296
50	790.3333333	0.862742645	26.30555556
51	1262	1.165408039	27.33333333
52	1413.666667	1.38336475	28.28703704
53	1612.833333	1.632838359	28.90740741
54	1798.166667	1.902109371	29.74074074
55	1745.833333	2.105061309	30.48148148
56	1454.833333	2.247487394	30.59259259
57	1029.833333	2.221494297	30.62037037
58	633.6666667	2.178290954	30.38888889
59	300	2.018482035	29.73148148
60	56	1.518719495	28.13888889
61	0	0.833417006	25.75925926
62	0	0.6470646	25.43518519
63	0	0.375632854	24.81481481
64	0	0.233208792	24.32407407
65	0	0.159987572	24.01851852
66	0	0.107824274	23.68518519
67	0	0.069510545	23.31481481
68	0	0.038987514	23.19444444
69	0	0.022418685	23.25
70	0	0.027645537	22.94444444
71	0	0.015899847	22.92592593
72	50.5	0.21624253	22.48148148
73	332.3333333	0.472463525	24.46296296
74	790.3333333	0.862742645	26.30555556
75	1262	1.165408039	27.33333333
76	1413.666667	1.38336475	28.28703704
77	1612.833333	1.632838359	28.90740741
78	1798.166667	1.902109371	29.74074074
79	1745.833333	2.105061309	30.48148148
80	1454.833333	2.247487394	30.59259259
81	1029.833333	2.221494297	30.62037037
82	633.6666667	2.178290954	30.38888889
83	300	2.018482035	29.73148148
84	56	1.518719495	28.13888889
85	0	0.833417006	25.75925926
86	0	0.6470646	25.43518519
87	0	0.375632854	24.81481481
88	0	0.233208792	24.32407407
89	0	0.159987572	24.01851852
90	0	0.107824274	23.68518519
91	0	0.069510545	23.31481481
92	0	0.038987514	23.19444444
93	0	0.022418685	23.25
94	0	0.027645537	22.94444444
95	0	0.015899847	22.92592593
96	50.5	0.21624253	22.48148148
97	332.3333333	0.472463525	24.46296296
98	790.3333333	0.862742645	26.30555556
99	1262	1.165408039	27.33333333
100	1413.666667	1.38336475	28.28703704
101	1612.833333	1.632838359	28.90740741
102	1798.166667	1.902109371	29.74074074
103	1745.833333	2.105061309	30.48148148
104	1454.833333	2.247487394	30.59259259
105	1029.833333	2.221494297	30.62037037
106	633.6666667	2.178290954	30.38888889
107	300	2.018482035	29.73148148
108	56	1.518719495	28.13888889
109	0	0.833417006	25.75925926
110	0	0.6470646	25.43518519
111	0	0.375632854	24.81481481
112	0	0.233208792	24.32407407
113	0	0.159987572	24.01851852
114	0	0.107824274	23.68518519
115	0	0.069510545	23.31481481
116	0	0.038987514	23.19444444
117	0	0.022418685	23.25
118	0	0.027645537	22.94444444
119	0	0.015899847	22.92592593
120	50.5	0.21624253	22.48148148
121	332.3333333	0.472463525	24.46296296
122	790.3333333	0.862742645	26.30555556
123	1262	1.165408039	27.33333333
124	1413.666667	1.38336475	28.28703704
125	1612.833333	1.632838359	28.90740741
126	1798.166667	1.902109371	29.74074074
127	1745.833333	2.105061309	30.48148148
128	1454.833333	2.247487394	30.59259259
129	1029.833333	2.221494297	30.62037037
130	633.6666667	2.178290954	30.38888889
131	300	2.018482035	29.73148148
132	56	1.518719495	28.13888889
133	0	0.833417006	25.75925926
134	0	0.6470646	25.43518519
135	0	0.375632854	24.81481481
136	0	0.233208792	24.32407407
137	0	0.159987572	24.01851852
138	0	0.107824274	23.68518519
139	0	0.069510545	23.31481481
140	0	0.038987514	23.19444444
141	0	0.022418685	23.25
142	0	0.027645537	22.94444444
143	0	0.015899847	22.92592593
144	50.5	0.21624253	22.48148148
145	332.3333333	0.472463525	24.46296296
146	790.3333333	0.862742645	26.30555556
147	1262	1.165408039	27.33333333
148	1413.666667	1.38336475	28.28703704
149	1612.833333	1.632838359	28.90740741
150	1798.166667	1.902109371	29.74074074
151	1745.833333	2.105061309	30.48148148
152	1454.833333	2.247487394	30.59259259
153	1029.833333	2.221494297	30.62037037
154	633.6666667	2.178290954	30.38888889
155	300	2.018482035	29.73148148
156	56	1.518719495	28.13888889
157	0	0.833417006	25.75925926
158	0	0.6470646	25.43518519
159	0	0.375632854	24.81481481
160	0	0.233208792	24.32407407
161	0	0.159987572	24.01851852
162	0	0.107824274	23.68518519
163	0	0.069510545	23.31481481
164	0	0.038987514	23.19444444
165	0	0.022418685	23.25
166	0	0.027645537	22.94444444
167	0	0.015899847	22.92592593
168	50.5	0.21624253	22.48148148
169	332.3333333	0.472463525	24.46296296
170	790.3333333	0.862742645	26.30555556
171	1262	1.165408039	27.33333333
172	1413.666667	1.38336475	28.28703704
173	1612.833333	1.632838359	28.90740741
174	1798.166667	1.902109371	29.74074074
175	1745.833333	2.105061309	30.48148148
176	1454.833333	2.247487394	30.59259259
177	1029.833333	2.221494297	30.62037037
178	633.6666667	2.178290954	30.38888889
179	300	2.018482035	29.73148148
180	56	1.518719495	28.13888889
181	0	0.833417006	25.75925926
182	0	0.6470646	25.43518519
183	0	0.375632854	24.81481481
184	0	0.233208792	24.32407407
185	0	0.159987572	24.01851852
186	0	0.107824274	23.68518519
187	0	0.069510545	23.31481481
188	0	0.038987514	23.19444444
189	0	0.022418685	23.25
190	0	0.027645537	22.94444444
191	0	0.015899847	22.92592593
192	50.5	0.21624253	22.48148148
193	332.3333333	0.472463525	24.46296296
194	790.3333333	0.862742645	26.30555556
195	1262	1.165408039	27.33333333
196	1413.666667	1.38336475	28.28703704
197	1612.833333	1.632838359	28.90740741
198	1798.166667	1.902109371	29.74074074
199	1745.833333	2.105061309	30.48148148
200	1454.833333	2.247487394	30.59259259
201	1029.833333	2.221494297	30.62037037
202	633.6666667	2.178290954	30.38888889
203	300	2.018482035	29.73148148
204	56	1.518719495	28.13888889
205	0	0.833417006	25.75925926
206	0	0.6470646	25.43518519
207	0	0.375632854	24.81481481
208	0	0.233208792	24.32407407
209	0	0.159987572	24.01851852
210	0	0.107824274	23.68518519
211	0	0.069510545	23.31481481
212	0	0.038987514	23.19444444
213	0	0.022418685	23.25
214	0	0.027645537	22.94444444
215	0	0.015899847	22.92592593
216	50.5	0.21624253	22.48148148
217	332.3333333	0.472463525	24.46296296
218	790.3333333	0.862742645	26.30555556
219	1262	1.165408039	27.33333333
220	1413.666667	1.38336475	28.28703704
221	1612.833333	1.632838359	28.90740741
222	1798.166667	1.902109371	29.74074074
223	1745.833333	2.105061309	30.48148148
224	1454.833333	2.247487394	30.59259259
225	1029.833333	2.221494297	30.62037037
226	633.6666667	2.178290954	30.38888889
227	300	2.018482035	29.73148148
228	56	1.518719495	28.13888889
229	0	0.833417006	25.75925926
230	0	0.6470646	25.43518519
231	0	0.375632854	24.81481481
232	0	0.233208792	24.32407407
233	0	0.159987572	24.01851852
234	0	0.107824274	23.68518519
235	0	0.069510545	23.31481481
236	0	0.038987514	23.19444444
237	0	0.022418685	23.25
238	0	0.027645537	22.94444444
239	0	0.015899847	22.92592593
240	50.5	0.21624253	22.48148148
241	332.3333333	0.472463525	24.46296296
242	790.3333333	0.862742645	26.30555556
243	1262	1.165408039	27.33333333
244	1413.666667	1.38336475	28.28703704
245	1612.833333	1.632838359	28.90740741
246	1798.166667	1.902109371	29.74074074
247	1745.833333	2.105061309	30.48148148
248	1454.833333	2.247487394	30.59259259
249	1029.833333	2.221494297	30.62037037
250	633.6666667	2.178290954	30.38888889
251	300	2.018482035	29.73148148
252	56	1.518719495	28.13888889
253	0	0.833417006	25.75925926
254	0	0.6470646	25.43518519
255	0	0.375632854	24.81481481
256	0	0.233208792	24.32407407
257	0	0.159987572	24.01851852
258	0	0.107824274	23.68518519
259	0	0.069510545	23.31481481
260	0	0.038987514	23.19444444
261	0	0.022418685	23.25
262	0	0.027645537	22.94444444
263	0	0.015899847	22.92592593
264	50.5	0.21624253	22.48148148
265	332.3333333	0.472463525	24.46296296
266	790.3333333	0.862742645	26.30555556
267	1262	1.165408039	27.33333333
268	1413.666667	1.38336475	28.28703704
269	1612.833333	1.632838359	28.90740741
270	1798.166667	1.902109371	29.74074074
271	1745.833333	2.105061309	30.48148148
272	1454.833333	2.247487394	30.59259259
273	1029.833333	2.221494297	30.62037037
274	633.6666667	2.178290954	30.38888889
275	300	2.018482035	29.73148148
276	56	1.518719495	28.13888889
277	0	0.833417006	25.75925926
278	0	0.6470646	25.43518519
279	0	0.375632854	24.81481481
280	0	0.233208792	24.32407407
281	0	0.159987572	24.01851852
282	0	0.107824274	23.68518519
283	0	0.069510545	23.31481481
284	0	0.038987514	23.19444444
285	0	0.022418685	23.25
286	0	0.027645537	22.94444444
287	0	0.015899847	22.92592593
288	50.5	0.21624253	22.48148148
289	332.3333333	0.472463525	24.46296296
290	790.3333333	0.862742645	26.30555556
291	1262	1.165408039	27.33333333
292	1413.666667	1.38336475	28.28703704
293	1612.833333	1.632838359	28.90740741
294	1798.166667	1.902109371	29.74074074
295	1745.833333	2.105061309	30.48148148
296	1454.833333	2.247487394	30.59259259
297	1029.833333	2.221494297	30.62037037
298	633.6666667	2.178290954	30.38888889
299	300	2.018482035	29.73148148
300	56	1.518719495	28.13888889
301	0	0.833417006	25.75925926
302	0	0.6470646	25.43518519
303	0	0.375632854	24.81481481
304	0	0.233208792	24.32407407
305	0	0.159987572	24.01851852
306	0	0.107824274	23.68518519
307	0	0.069510545	23.31481481
308	0	0.038987514	23.19444444
309	0	0.022418685	23.25
310	0	0.027645537	22.94444444
311	0	0.015899847	22.92592593
312	50.5	0.21624253	22.48148148
313	332.3333333	0.472463525	24.46296296
314	790.3333333	0.862742645	26.30555556
315	1262	1.165408039	27.33333333
316	1413.666667	1.38336475	28.28703704
317	1612.833333	1.632838359	28.90740741
318	1798.166667	1.902109371	29.74074074
319	1745.833333	2.105061309	30.48148148
320	1454.833333	2.247487394	30.59259259
321	1029.833333	2.221494297	30.62037037
322	633.6666667	2.178290954	30.38888889
323	300	2.018482035	29.73148148
324	56	1.518719495	28.13888889
325	0	0.833417006	25.75925926
326	0	0.6470646	25.43518519
327	0	0.375632854	24.81481481
328	0	0.233208792	24.32407407
329	0	0.159987572	24.01851852
330	0	0.107824274	23.68518519
331	0	0.069510545	23.31481481
332	0	0.038987514	23.19444444
333	0	0.022418685	23.25
334	0	0.027645537	22.94444444
335	0	0.015899847	22.92592593
336	50.5	0.21624253	22.48148148
337	332.3333333	0.472463525	24.46296296
338	790.3333333	0.862742645	26.30555556
339	1262	1.165408039	27.33333333
340	1413.666667	1.38336475	28.28703704
341	1612.833333	1.632838359	28.90740741
342	1798.166667	1.902109371	29.74074074
343	1745.833333	2.105061309	30.48148148
344	1454.833333	2.247487394	30.59259259
345	1029.833333	2.221494297	30.62037037
346	633.6666667	2.178290954	30.38888889
347	300	2.018482035	29.73148148
348	56	1.518719495	28.13888889
349	0	0.833417006	25.75925926
350	0	0.6470646	25.43518519
351	0	0.375632854	24.81481481
352	0	0.233208792	24.32407407
353	0	0.159987572	24.01851852
354	0	0.107824274	23.68518519
355	0	0.069510545	23.31481481
356	0	0.038987514	23.19444444
357	0	0.022418685	23.25
358	0	0.027645537	22.94444444
359	0	0.015899847	22.92592593
360	50.5	0.21624253	22.48148148
361	332.3333333	0.472463525	24.46296296
362	790.3333333	0.862742645	26.30555556
363	1262	1.165408039	27.33333333
364	1413.666667	1.38336475	28.28703704
365	1612.833333	1.632838359	28.90740741
366	1798.166667	1.902109371	29.74074074
367	1745.833333	2.105061309	30.48148148
368	1454.833333	2.247487394	30.59259259
369	1029.833333	2.221494297	30.62037037
370	633.6666667	2.178290954	30.38888889
371	300	2.018482035	29.73148148
372	56	1.518719495	28.13888889
373	0	0.833417006	25.75925926
374	0	0.6470646	25.43518519
375	0	0.375632854	24.81481481
376	0	0.233208792	24.32407407
377	0	0.159987572	24.01851852
378	0	0.107824274	23.68518519
379	0	0.069510545	23.31481481
380	0	0.038987514	23.19444444
381	0	0.022418685	23.25
382	0	0.027645537	22.94444444
383	0	0.015899847	22.92592593
384	50.5	0.21624253	22.48148148
385	332.3333333	0.472463525	24.46296296
386	790.3333333	0.862742645	26.30555556
387	1262	1.165408039	27.33333333
388	1413.666667	1.38336475	28.28703704
389	1612.833333	1.632838359	28.90740741
390	1798.166667	1.902109371	29.74074074
391	1745.833333	2.105061309	30.48148148
392	1454.833333	2.247487394	30.59259259
393	1029.833333	2.221494297	30.62037037
394	633.6666667	2.178290954	30.38888889
395	300	2.018482035	29.73148148
396	56	1.518719495	28.13888889
397	0	0.833417006	25.75925926
398	0	0.6470646	25.43518519
399	0	0.375632854	24.81481481
400	0	0.233208792	24.32407407
401	0	0.159987572	24.01851852
402	0	0.107824274	23.68518519
403	0	0.069510545	23.31481481
404	0	0.038987514	23.19444444
405	0	0.022418685	23.25
406	0	0.027645537	22.94444444
407	0	0.015899847	22.92592593
408	50.5	0.21624253	22.48148148
409	332.3333333	0.472463525	24.46296296
410	790.3333333	0.862742645	26.30555556
411	1262	1.165408039	27.33333333
412	1413.666667	1.38336475	28.28703704
413	1612.833333	1.632838359	28.90740741
414	1798.166667	1.902109371	29.74074074
415	1745.833333	2.105061309	30.48148148
416	1454.833333	2.247487394	30.59259259
417	1029.833333	2.221494297	30.62037037
418	633.6666667	2.178290954	30.38888889
419	300	2.018482035	29.73148148
420	56	1.518719495	28.13888889
421	0	0.833417006	25.75925926
422	0	0.6470646	25.43518519
423	0	0.375632854	24.81481481
424	0	0.233208792	24.32407407
425	0	0.159987572	24.01851852
426	0	0.107824274	23.68518519
427	0	0.069510545	23.31481481
428	0	0.038987514	23.19444444
429	0	0.022418685	23.25
430	0	0.027645537	22.94444444
431	0	0.015899847	22.92592593
432	50.5	0.21624253	22.48148148
433	332.3333333	0.472463525	24.46296296
434	790.3333333	0.862742645	26.30555556
435	1262	1.165408039	27.33333333
436	1413.666667	1.38336475	28.28703704
437	1612.833333	1.632838359	28.90740741
438	1798.166667	1.902109371	29.74074074
439	1745.833333	2.105061309	30.48148148
440	1454.833333	2.247487394	30.59259259
441	1029.833333	2.221494297	30.62037037
442	633.6666667	2.178290954	30.38888889
443	300	2.018482035	29.73148148
444	56	1.518719495	28.13888889
445	0	0.833417006	25.75925926
446	0	0.6470646	25.43518519
447	0	0.375632854	24.81481481
448	0	0.233208792	24.32407407
449	0	0.159987572	24.01851852
450	0	0.107824274	23.68518519
451	0	0.069510545	23.31481481
452	0	0.038987514	23.19444444
453	0	0.022418685	23.25
454	0	0.027645537	22.94444444
455	0	0.015899847	22.92592593
456	50.5	0.21624253	22.48148148
457	332.3333333	0.472463525	24.46296296
458	790.3333333	0.862742645	26.30555556
459	1262	1.165408039	27.33333333
460	1413.666667	1.38336475	28.28703704
461	1612.833333	1.632838359	28.90740741
462	1798.166667	1.902109371	29.74074074
463	1745.833333	2.105061309	30.48148148
464	1454.833333	2.247487394	30.59259259
465	1029.833333	2.221494297	30.62037037
466	633.6666667	2.178290954	30.38888889
467	300	2.018482035	29.73148148
468	56	1.518719495	28.13888889
469	0	0.833417006	25.75925926
470	0	0.6470646	25.43518519
471	0	0.375632854	24.81481481
472	0	0.233208792	24.32407407
473	0	0.159987572	24.01851852
474	0	0.107824274	23.68518519
475	0	0.069510545	23.31481481
476	0	0.038987514	23.19444444
477	0	0.022418685	23.25
478	0	0.027645537	22.94444444
479	0	0.015899847	22.92592593
480	50.5	0.21624253	22.48148148
481	332.3333333	0.472463525	24.46296296
482	790.3333333	0.862742645	26.30555556
483	1262	1.165408039	27.33333333
484	1413.666667	1.38336475	28.28703704
485	1612.833333	1.632838359	28.90740741
486	1798.166667	1.902109371	29.74074074
487	1745.833333	2.105061309	30.48148148
488	1454.833333	2.247487394	30.59259259
489	1029.833333	2.221494297	30.62037037
490	633.6666667	2.178290954	30.38888889
491	300	2.018482035	29.73148148
492	56	1.518719495	28.13888889
493	0	0.833417006	25.75925926
494	0	0.6470646	25.43518519
495	0	0.375632854	24.81481481
496	0	0.233208792	24.32407407
497	0	0.159987572	24.01851852
498	0	0.107824274	23.68518519
499	0	0.069510545	23.31481481
500	0	0.038987514	23.19444444
501	0	0.022418685	23.25
502	0	0.027645537	22.94444444
503	0	0.015899847	22.92592593
504	50.5	0.21624253	22.48148148
505	332.3333333	0.472463525	24.46296296
